Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  23.07.2008;110,00;110,20;109,70;110,11;966.962
  24.07.2008;110,16;111,02;110,10;110,94;824.155
  25.07.2008;110,98;111,53;110,25;110,30;1.102.840
  28.07.2008;110,54;111,24;110,41;111,14;630.671
  29.07.2008;111,18;111,73;110,99;111,54;941.253
  30.07.2008;111,63;112,36;111,54;112,20;900.415
  31.07.2008;112,15;112,67;111,77;112,61;1.034.251
  01.08.2008;112,60;112,83;112,29;112,64;872.421
  04.08.2008;112,61;112,95;112,48;112,62;669.274
  05.08.2008;112,70;113,02;112,57;112,83;605.784
  06.08.2008;112,94;113,29;112,55;112,77;839.637
  07.08.2008;112,82;113,60;112,77;113,57;850.148
  08.08.2008;113,50;113,80;113,40;113,54;755.888
  11.08.2008;113,57;113,68;113,32;113,46;375.908
  12.08.2008;113,55;113,97;113,52;113,83;620.290
  13.08.2008;113,80;114,17;113,63;113,87;792.198
  14.08.2008;113,89;114,08;113,65;113,97;635.649
  15.08.2008;113,98;114,50;113,95;114,31;411.062
  18.08.2008;114,30;114,59;114,23;114,45;472.308
  19.08.2008;114,48;114,91;114,17;114,27;757.660
  20.08.2008;114,31;114,94;113,96;114,76;797.057
  21.08.2008;114,69;114,82;114,03;114,10;808.747
  25.08.2008;114,02;114,74;113,92;114,62;358.473
  27.08.2008;114,77;114,87;113,93;114,36;917.625
  28.08.2008;114,35;114,59;113,80;114,30;926.326
  29.08.2008;114,42;114,54;113,90;114,16;810.665
  01.09.2008;114,17;114,64;114,11;114,63;420.340
  03.09.2008;114,52;114,82;114,17;114,43;1.467.318
  04.09.2008;114,28;115,23;113,92;115,14;1.859.845
  05.09.2008;115,27;115,85;115,03;115,28;796.315
  08.09.2008;114,66;114,90;114,29;114,78;52.619
  09.09.2008;115,05;115,20;114,25;115,20;1.035.996
  10.09.2008;115,04;115,22;114,56;114,82;1.007.083
  11.09.2008;114,79;115,26;114,60;114,63;1.001.349
  12.09.2008;114,49;114,71;113,70;113,94;1.117.629
  15.09.2008;115,01;115,65;114,76;115,35;1.332.367
  16.09.2008;115,62;116,13;114,90;114,90;1.558.015
  17.09.2008;115,05;115,84;114,73;115,63;1.280.427
  18.09.2008;115,45;115,58;114,83;114,85;948.644
  19.09.2008;114,54;114,72;113,35;113,38;1.318.475
  22.09.2008;113,51;113,80;112,91;113,30;923.510
  23.09.2008;113,25;113,67;113,21;113,40;849.144
  24.09.2008;113,30;114,08;113,23;114,02;771.464
  25.09.2008;113,78;113,99;113,25;113,41;921.813
  26.09.2008;113,58;114,06;113,50;113,73;624.822
  29.09.2008;113,90;116,07;113,82;115,87;1.091.746
  30.09.2008;115,79;115,94;114,76;114,89;1.022.205
  02.10.2008;115,13;115,93;114,83;115,88;935.221
  03.10.2008;115,73;116,71;115,37;116,21;1.110.446
  06.10.2008;116,55;117,35;116,31;116,98;871.358
  07.10.2008;116,92;117,40;116,58;117,28;1.132.519
  08.10.2008;117,50;117,82;116,13;116,31;1.339.379
  09.10.2008;116,40;116,60;115,46;116,35;997.272
  10.10.2008;116,30;116,79;114,44;114,67;1.203.123
  13.10.2008;114,69;114,75;114,05;114,11;643.292
  14.10.2008;114,05;114,73;113,78;113,91;847.526
  15.10.2008;114,06;114,45;113,79;114,06;760.829
  16.10.2008;114,19;114,55;113,67;114,12;858.300
  17.10.2008;114,00;115,33;113,87;114,76;852.520
  20.10.2008;114,50;114,96;114,25;114,87;532.083
  21.10.2008;114,91;115,67;114,73;115,54;734.986
  22.10.2008;115,72;116,97;115,63;116,83;864.310
  23.10.2008;116,76;117,33;116,38;116,88;935.672
  24.10.2008;117,30;117,72;116,85;116,92;886.430
  27.10.2008;117,22;117,53;116,82;117,07;543.182
  28.10.2008;116,70;117,53;116,28;116,88;768.235
  29.10.2008;117,01;117,31;116,78;117,00;506.500
  30.10.2008;116,78;117,32;116,21;117,03;753.341
  31.10.2008;117,31;117,46;115,88;115,92;866.652
  03.11.2008;116,04;116,94;115,96;116,85;492.745
  04.11.2008;116,60;117,06;116,43;117,06;473.472
